sampling_date,reporting_date,reported,reporting_delay
2021-02-24,2021-03-25,TRUE,29
2021-04-12,2021-04-25,TRUE,13
2021-04-13,2021-04-25,TRUE,12
2021-04-13,2021-04-25,TRUE,12
2021-04-05,2021-04-25,TRUE,20
2021-04-13,2021-04-29,TRUE,16
2021-04-10,2021-04-29,TRUE,19
2021-03-22,2021-04-07,TRUE,16
2021-04-15,2021-04-29,TRUE,14
2021-04-15,2021-04-29,TRUE,14
2021-03-29,2021-04-12,TRUE,14
2021-04-17,2021-05-11,TRUE,24
2021-02-23,2021-03-25,TRUE,30
2021-04-22,2021-05-12,TRUE,20
2021-03-30,2021-04-16,TRUE,17
2021-04-07,2021-04-29,TRUE,22
2021-04-05,2021-04-22,TRUE,17
2021-02-06,2021-03-11,TRUE,33
2021-03-18,2021-04-07,TRUE,20
2021-02-05,2021-02-26,TRUE,21
2021-02-17,2021-03-12,TRUE,23
2021-04-13,2021-05-01,TRUE,18
2021-04-20,2021-05-13,TRUE,23
2021-04-23,2021-05-12,TRUE,19
2021-04-23,2021-05-12,TRUE,19
2021-04-23,2021-05-12,TRUE,19
2021-04-23,2021-05-12,TRUE,19
2021-04-21,2021-05-12,TRUE,21
2021-04-22,2021-05-12,TRUE,20
2021-04-21,2021-05-12,TRUE,21
2021-04-16,2021-05-11,TRUE,25
2021-04-19,2021-05-11,TRUE,22
2021-04-19,2021-05-11,TRUE,22
2021-04-19,2021-05-11,TRUE,22
2021-04-10,2021-05-11,TRUE,31
2021-04-19,2021-05-11,TRUE,22
2021-04-20,2021-05-11,TRUE,21
2021-04-20,2021-05-11,TRUE,21
2021-04-20,2021-05-11,TRUE,21
2021-04-17,2021-05-11,TRUE,24
2021-04-17,2021-05-11,TRUE,24
2021-04-17,2021-05-11,TRUE,24
2021-04-19,2021-05-04,TRUE,15
2021-04-17,2021-05-03,TRUE,16
2021-04-16,2021-05-03,TRUE,17
2021-04-16,2021-05-03,TRUE,17
2021-04-15,2021-05-03,TRUE,18
2021-04-15,2021-05-03,TRUE,18
2021-04-14,2021-05-03,TRUE,19
2021-03-03,2021-03-25,TRUE,22
2021-04-18,2021-05-02,TRUE,14
2021-04-14,2021-05-02,TRUE,18
2021-04-15,2021-05-02,TRUE,17
2021-04-17,2021-04-29,TRUE,12
2021-04-13,2021-04-29,TRUE,16
2021-04-10,2021-04-29,TRUE,19
2021-04-13,2021-04-29,TRUE,16
2021-04-13,2021-04-25,TRUE,12
2021-04-13,2021-04-25,TRUE,12
2021-04-09,2021-04-25,TRUE,16
2021-04-07,2021-04-22,TRUE,15
2021-04-10,2021-04-21,TRUE,11
2021-04-01,2021-04-16,TRUE,15
2021-03-31,2021-04-16,TRUE,16
2021-03-29,2021-04-16,TRUE,18
2021-03-31,2021-04-16,TRUE,16
2021-03-16,2021-04-09,TRUE,24
2021-03-28,2021-04-09,TRUE,12
2021-03-16,2021-04-09,TRUE,24
2021-03-17,2021-04-09,TRUE,23
2021-03-26,2021-04-09,TRUE,14
2021-03-23,2021-04-09,TRUE,17
2021-03-25,2021-04-09,TRUE,15
2021-03-22,2021-04-07,TRUE,16
2021-03-22,2021-04-07,TRUE,16
2021-03-21,2021-04-07,TRUE,17
2021-03-22,2021-04-07,TRUE,16
2021-03-16,2021-04-02,TRUE,17
2021-03-16,2021-04-02,TRUE,17
2021-03-16,2021-04-02,TRUE,17
2021-03-12,2021-04-02,TRUE,21
2021-03-12,2021-04-02,TRUE,21
2021-03-12,2021-04-02,TRUE,21
2021-03-13,2021-04-02,TRUE,20
2021-03-12,2021-04-02,TRUE,21
2021-03-15,2021-04-02,TRUE,18
2021-03-15,2021-04-02,TRUE,18
2021-03-10,2021-03-30,TRUE,20
2021-03-23,2021-03-30,TRUE,7
2021-03-22,2021-04-07,TRUE,16
2021-04-13,2021-05-11,TRUE,28
2021-02-04,2021-03-26,TRUE,50
2021-02-02,2021-03-26,TRUE,52
2021-02-05,2021-03-26,TRUE,49
2021-02-02,2021-03-25,TRUE,51
2021-02-22,2021-03-25,TRUE,31
2021-02-21,2021-03-25,TRUE,32
2021-02-22,2021-03-25,TRUE,31
2021-02-23,2021-03-25,TRUE,30
2021-02-24,2021-03-25,TRUE,29
2021-02-23,2021-03-25,TRUE,30
2021-03-02,2021-03-25,TRUE,23
2021-02-18,2021-03-25,TRUE,35
2021-02-07,2021-03-25,TRUE,46
2021-02-07,2021-03-25,TRUE,46
2021-02-06,2021-03-25,TRUE,47
2021-02-23,2021-03-25,TRUE,30
2021-02-22,2021-03-25,TRUE,31
2021-03-26,2021-04-09,TRUE,14
2021-03-26,2021-04-09,TRUE,14
2021-03-27,2021-04-09,TRUE,13
2021-02-25,2021-03-17,TRUE,20
2021-02-02,2021-03-11,TRUE,37
2021-02-03,2021-03-11,TRUE,36
2021-02-04,2021-03-11,TRUE,35
2021-02-03,2021-03-11,TRUE,36
2021-02-06,2021-03-10,TRUE,32
2021-02-12,2021-03-08,TRUE,24
2021-02-17,2021-03-08,TRUE,19
2021-02-17,2021-03-08,TRUE,19
2021-02-08,2021-03-08,TRUE,28
2021-02-22,2021-03-25,TRUE,31
2021-02-08,2021-03-05,TRUE,25
2021-02-05,2021-02-22,TRUE,17
2021-02-03,2021-02-17,TRUE,14
2021-04-03,2021-04-16,TRUE,13
2021-02-23,2021-03-25,TRUE,30
2021-04-01,2021-04-16,TRUE,15
2021-04-02,2021-04-16,TRUE,14
2021-04-01,2021-04-16,TRUE,15
2021-02-06,2021-03-08,TRUE,30
2021-04-05,2021-04-17,TRUE,12
2021-04-06,2021-04-21,TRUE,15
2021-04-07,2021-04-21,TRUE,14
2021-04-12,2021-04-21,TRUE,9
