sampling_date,reporting_date
2021-04-13,2021-07-03
2021-06-23,2021-07-04
2021-06-24,2021-07-04
2021-06-25,2021-07-04
2021-05-22,2021-07-03
2021-05-20,2021-07-03
2021-06-01,2021-07-03
2021-05-27,2021-07-03
2021-04-13,2021-07-03
2021-05-24,2021-07-03
2021-06-27,2021-07-04
2021-07-18,2021-07-30
2021-07-21,2021-07-30
2021-07-07,2021-07-24
2021-06-15,2021-07-23
2021-06-28,2021-07-21
2021-07-12,2021-07-20
2021-06-25,2021-07-20
2021-07-06,2021-07-15
2021-06-15,2021-07-09
2021-06-15,2021-07-09
2021-06-21,2021-07-04
2021-06-22,2021-07-09
2021-06-17,2021-07-13
2021-06-17,2021-07-13
2021-07-03,2021-07-20
2021-06-21,2021-07-04
2021-06-10,2021-07-09
2021-06-22,2021-07-13
2021-07-06,2021-07-15
2021-07-06,2021-07-15
2021-07-08,2021-07-20
2021-06-18,2021-07-20
2021-07-03,2021-07-21
2021-07-06,2021-07-21
2021-07-07,2021-07-15
2021-07-02,2021-07-15
2021-06-16,2021-07-20
2021-06-29,2021-07-23
2021-07-08,2021-07-24
2021-07-11,2021-07-29
2021-07-19,2021-07-30
2021-07-19,2021-07-30
2021-07-15,2021-08-01
2021-07-15,2021-08-01
2021-06-30,2021-07-08
2021-06-24,2021-07-08
2021-06-27,2021-07-20
2021-07-06,2021-07-24
2021-06-08,2021-07-20
2021-07-06,2021-07-28
2021-03-05,2021-07-29
2021-07-19,2021-07-30
2021-07-15,2021-08-01
2021-07-15,2021-08-01
2021-07-15,2021-08-01
